PassengerId,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
41,3,40.0,1,0,9.475,1,0,0,0,1
42,2,27.0,1,0,21.0,1,0,0,0,1
43,3,29.69911764705882,0,0,7.8958,0,1,1,0,0
44,2,3.0,1,2,41.5792,1,0,1,0,0
45,3,19.0,0,0,7.8792,1,0,0,1,0
46,3,29.69911764705882,0,0,8.05,0,1,0,0,1
47,3,29.69911764705882,1,0,15.5,0,1,0,1,0
48,3,29.69911764705882,0,0,7.75,1,0,0,1,0
49,3,29.69911764705882,2,0,21.6792,0,1,1,0,0
50,3,18.0,1,0,17.8,1,0,0,0,1
51,3,7.0,4,1,39.6875,0,1,0,0,1
52,3,21.0,0,0,7.8,0,1,0,0,1
53,1,49.0,1,0,76.7292,1,0,1,0,0
54,2,29.0,1,0,26.0,1,0,0,0,1
55,1,65.0,0,1,61.9792,0,1,1,0,0
56,1,29.69911764705882,0,0,35.5,0,1,0,0,1
57,2,21.0,0,0,10.5,1,0,0,0,1
58,3,28.5,0,0,7.2292,0,1,1,0,0
59,2,5.0,1,2,27.75,1,0,0,0,1
60,3,11.0,5,2,46.9,0,1,0,0,1
61,3,22.0,0,0,7.2292,0,1,1,0,0
62,1,38.0,0,0,80.0,1,0,0,0,0
63,1,45.0,1,0,83.475,0,1,0,0,1
64,3,4.0,3,2,27.9,0,1,0,0,1
65,1,29.69911764705882,0,0,27.7208,0,1,1,0,0
66,3,29.69911764705882,1,1,15.2458,0,1,1,0,0
67,2,29.0,0,0,10.5,1,0,0,0,1
68,3,19.0,0,0,8.1583,0,1,0,0,1
69,3,17.0,4,2,7.925,1,0,0,0,1
70,3,26.0,2,0,8.6625,0,1,0,0,1
71,2,32.0,0,0,10.5,0,1,0,0,1
72,3,16.0,5,2,46.9,1,0,0,0,1
73,2,21.0,0,0,73.5,0,1,0,0,1
74,3,26.0,1,0,14.4542,0,1,1,0,0
75,3,32.0,0,0,56.4958,0,1,0,0,1
76,3,25.0,0,0,7.65,0,1,0,0,1
77,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
78,3,29.69911764705882,0,0,8.05,0,1,0,0,1
79,2,0.83,0,2,29.0,0,1,0,0,1
80,3,30.0,0,0,12.475,1,0,0,0,1
81,3,22.0,0,0,9.0,0,1,0,0,1
82,3,29.0,0,0,9.5,0,1,0,0,1
83,3,29.69911764705882,0,0,7.7875,1,0,0,1,0
84,1,28.0,0,0,47.1,0,1,0,0,1
85,2,17.0,0,0,10.5,1,0,0,0,1
86,3,33.0,3,0,15.85,1,0,0,0,1
87,3,16.0,1,3,34.375,0,1,0,0,1
88,3,29.69911764705882,0,0,8.05,0,1,0,0,1
89,1,23.0,3,2,263.0,1,0,0,0,1
90,3,24.0,0,0,8.05,0,1,0,0,1
91,3,29.0,0,0,8.05,0,1,0,0,1
92,3,20.0,0,0,7.8542,0,1,0,0,1
93,1,46.0,1,0,61.175,0,1,0,0,1
94,3,26.0,1,2,20.575,0,1,0,0,1
95,3,59.0,0,0,7.25,0,1,0,0,1
96,3,29.69911764705882,0,0,8.05,0,1,0,0,1
97,1,71.0,0,0,34.6542,0,1,1,0,0
98,1,23.0,0,1,63.3583,0,1,1,0,0
99,2,34.0,0,1,23.0,1,0,0,0,1
100,2,34.0,1,0,26.0,0,1,0,0,1
101,3,28.0,0,0,7.8958,1,0,0,0,1
102,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
103,1,21.0,0,1,77.2875,0,1,0,0,1
104,3,33.0,0,0,8.6542,0,1,0,0,1
105,3,37.0,2,0,7.925,0,1,0,0,1
106,3,28.0,0,0,7.8958,0,1,0,0,1
107,3,21.0,0,0,7.65,1,0,0,0,1
108,3,29.69911764705882,0,0,7.775,0,1,0,0,1
109,3,38.0,0,0,7.8958,0,1,0,0,1
110,3,29.69911764705882,1,0,24.15,1,0,0,1,0
111,1,47.0,0,0,52.0,0,1,0,0,1
112,3,14.5,1,0,14.4542,1,0,1,0,0
113,3,22.0,0,0,8.05,0,1,0,0,1
114,3,20.0,1,0,9.825,1,0,0,0,1
115,3,17.0,0,0,14.4583,1,0,1,0,0
116,3,21.0,0,0,7.925,0,1,0,0,1
117,3,70.5,0,0,7.75,0,1,0,1,0
118,2,29.0,1,0,21.0,0,1,0,0,1
119,1,24.0,0,1,247.5208,0,1,1,0,0
120,3,2.0,4,2,31.275,1,0,0,0,1
121,2,21.0,2,0,73.5,0,1,0,0,1
122,3,29.69911764705882,0,0,8.05,0,1,0,0,1
123,2,32.5,1,0,30.0708,0,1,1,0,0
124,2,32.5,0,0,13.0,1,0,0,0,1
125,1,54.0,0,1,77.2875,0,1,0,0,1
126,3,12.0,1,0,11.2417,0,1,1,0,0
127,3,29.69911764705882,0,0,7.75,0,1,0,1,0
128,3,24.0,0,0,7.1417,0,1,0,0,1
129,3,29.69911764705882,1,1,22.3583,1,0,1,0,0
130,3,45.0,0,0,6.975,0,1,0,0,1
131,3,33.0,0,0,7.8958,0,1,1,0,0
132,3,20.0,0,0,7.05,0,1,0,0,1
133,3,47.0,1,0,14.5,1,0,0,0,1
134,2,29.0,1,0,26.0,1,0,0,0,1
135,2,25.0,0,0,13.0,0,1,0,0,1
136,2,23.0,0,0,15.0458,0,1,1,0,0
137,1,19.0,0,2,26.2833,1,0,0,0,1
138,1,37.0,1,0,53.1,0,1,0,0,1
139,3,16.0,0,0,9.2167,0,1,0,0,1
140,1,24.0,0,0,79.2,0,1,1,0,0
141,3,29.69911764705882,0,2,15.2458,1,0,1,0,0
142,3,22.0,0,0,7.75,1,0,0,0,1
143,3,24.0,1,0,15.85,1,0,0,0,1
144,3,19.0,0,0,6.75,0,1,0,1,0
145,2,18.0,0,0,11.5,0,1,0,0,1
146,2,19.0,1,1,36.75,0,1,0,0,1
147,3,27.0,0,0,7.7958,0,1,0,0,1
148,3,9.0,2,2,34.375,1,0,0,0,1
149,2,36.5,0,2,26.0,0,1,0,0,1
150,2,42.0,0,0,13.0,0,1,0,0,1
151,2,51.0,0,0,12.525,0,1,0,0,1
152,1,22.0,1,0,66.6,1,0,0,0,1
153,3,55.5,0,0,8.05,0,1,0,0,1
154,3,40.5,0,2,14.5,0,1,0,0,1
155,3,29.69911764705882,0,0,7.3125,0,1,0,0,1
156,1,51.0,0,1,61.3792,0,1,1,0,0
157,3,16.0,0,0,7.7333,1,0,0,1,0
158,3,30.0,0,0,8.05,0,1,0,0,1
159,3,29.69911764705882,0,0,8.6625,0,1,0,0,1
160,3,29.69911764705882,8,2,69.55,0,1,0,0,1
161,3,44.0,0,1,16.1,0,1,0,0,1
162,2,40.0,0,0,15.75,1,0,0,0,1
163,3,26.0,0,0,7.775,0,1,0,0,1
164,3,17.0,0,0,8.6625,0,1,0,0,1
165,3,1.0,4,1,39.6875,0,1,0,0,1
166,3,9.0,0,2,20.525,0,1,0,0,1
167,1,29.69911764705882,0,1,55.0,1,0,0,0,1
168,3,45.0,1,4,27.9,1,0,0,0,1
169,1,29.69911764705882,0,0,25.925,0,1,0,0,1
170,3,28.0,0,0,56.4958,0,1,0,0,1
171,1,61.0,0,0,33.5,0,1,0,0,1
172,3,4.0,4,1,29.125,0,1,0,1,0
173,3,1.0,1,1,11.1333,1,0,0,0,1
174,3,21.0,0,0,7.925,0,1,0,0,1
175,1,56.0,0,0,30.6958,0,1,1,0,0
176,3,18.0,1,1,7.8542,0,1,0,0,1
177,3,29.69911764705882,3,1,25.4667,0,1,0,0,1
178,1,50.0,0,0,28.7125,1,0,1,0,0
179,2,30.0,0,0,13.0,0,1,0,0,1
180,3,36.0,0,0,0.0,0,1,0,0,1
181,3,29.69911764705882,8,2,69.55,1,0,0,0,1
182,2,29.69911764705882,0,0,15.05,0,1,1,0,0
183,3,9.0,4,2,31.3875,0,1,0,0,1
184,2,1.0,2,1,39.0,0,1,0,0,1
185,3,4.0,0,2,22.025,1,0,0,0,1
186,1,29.69911764705882,0,0,50.0,0,1,0,0,1
187,3,29.69911764705882,1,0,15.5,1,0,0,1,0
188,1,45.0,0,0,26.55,0,1,0,0,1
189,3,40.0,1,1,15.5,0,1,0,1,0
190,3,36.0,0,0,7.8958,0,1,0,0,1
191,2,32.0,0,0,13.0,1,0,0,0,1
192,2,19.0,0,0,13.0,0,1,0,0,1
193,3,19.0,1,0,7.8542,1,0,0,0,1
194,2,3.0,1,1,26.0,0,1,0,0,1
195,1,44.0,0,0,27.7208,1,0,1,0,0
196,1,58.0,0,0,146.5208,1,0,1,0,0
197,3,29.69911764705882,0,0,7.75,0,1,0,1,0
198,3,42.0,0,1,8.4042,0,1,0,0,1
199,3,29.69911764705882,0,0,7.75,1,0,0,1,0
200,2,24.0,0,0,13.0,1,0,0,0,1
201,3,28.0,0,0,9.5,0,1,0,0,1
202,3,29.69911764705882,8,2,69.55,0,1,0,0,1
203,3,34.0,0,0,6.4958,0,1,0,0,1
204,3,45.5,0,0,7.225,0,1,1,0,0
205,3,18.0,0,0,8.05,0,1,0,0,1
206,3,2.0,0,1,10.4625,1,0,0,0,1
207,3,32.0,1,0,15.85,0,1,0,0,1
208,3,26.0,0,0,18.7875,0,1,1,0,0
209,3,16.0,0,0,7.75,1,0,0,1,0
210,1,40.0,0,0,31.0,0,1,1,0,0
211,3,24.0,0,0,7.05,0,1,0,0,1
212,2,35.0,0,0,21.0,1,0,0,0,1
213,3,22.0,0,0,7.25,0,1,0,0,1
214,2,30.0,0,0,13.0,0,1,0,0,1
215,3,29.69911764705882,1,0,7.75,0,1,0,1,0
216,1,31.0,1,0,113.275,1,0,1,0,0
217,3,27.0,0,0,7.925,1,0,0,0,1
218,2,42.0,1,0,27.0,0,1,0,0,1
219,1,32.0,0,0,76.2917,1,0,1,0,0
220,2,30.0,0,0,10.5,0,1,0,0,1
221,3,16.0,0,0,8.05,0,1,0,0,1
222,2,27.0,0,0,13.0,0,1,0,0,1
223,3,51.0,0,0,8.05,0,1,0,0,1
224,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
225,1,38.0,1,0,90.0,0,1,0,0,1
226,3,22.0,0,0,9.35,0,1,0,0,1
227,2,19.0,0,0,10.5,0,1,0,0,1
228,3,20.5,0,0,7.25,0,1,0,0,1
229,2,18.0,0,0,13.0,0,1,0,0,1
230,3,29.69911764705882,3,1,25.4667,1,0,0,0,1
231,1,35.0,1,0,83.475,1,0,0,0,1
232,3,29.0,0,0,7.775,0,1,0,0,1
233,2,59.0,0,0,13.5,0,1,0,0,1
234,3,5.0,4,2,31.3875,1,0,0,0,1
235,2,24.0,0,0,10.5,0,1,0,0,1
236,3,29.69911764705882,0,0,7.55,1,0,0,0,1
237,2,44.0,1,0,26.0,0,1,0,0,1
238,2,8.0,0,2,26.25,1,0,0,0,1
239,2,19.0,0,0,10.5,0,1,0,0,1
240,2,33.0,0,0,12.275,0,1,0,0,1
241,3,29.69911764705882,1,0,14.4542,1,0,1,0,0
242,3,29.69911764705882,1,0,15.5,1,0,0,1,0
243,2,29.0,0,0,10.5,0,1,0,0,1
244,3,22.0,0,0,7.125,0,1,0,0,1
245,3,30.0,0,0,7.225,0,1,1,0,0
246,1,44.0,2,0,90.0,0,1,0,1,0
247,3,25.0,0,0,7.775,1,0,0,0,1
248,2,24.0,0,2,14.5,1,0,0,0,1
249,1,37.0,1,1,52.5542,0,1,0,0,1
250,2,54.0,1,0,26.0,0,1,0,0,1
251,3,29.69911764705882,0,0,7.25,0,1,0,0,1
252,3,29.0,1,1,10.4625,1,0,0,0,1
253,1,62.0,0,0,26.55,0,1,0,0,1
254,3,30.0,1,0,16.1,0,1,0,0,1
255,3,41.0,0,2,20.2125,1,0,0,0,1
256,3,29.0,0,2,15.2458,1,0,1,0,0
257,1,29.69911764705882,0,0,79.2,1,0,1,0,0
258,1,30.0,0,0,86.5,1,0,0,0,1
259,1,35.0,0,0,512.3292,1,0,1,0,0
260,2,50.0,0,1,26.0,1,0,0,0,1
261,3,29.69911764705882,0,0,7.75,0,1,0,1,0
262,3,3.0,4,2,31.3875,0,1,0,0,1
263,1,52.0,1,1,79.65,0,1,0,0,1
264,1,40.0,0,0,0.0,0,1,0,0,1
265,3,29.69911764705882,0,0,7.75,1,0,0,1,0
266,2,36.0,0,0,10.5,0,1,0,0,1
267,3,16.0,4,1,39.6875,0,1,0,0,1
268,3,25.0,1,0,7.775,0,1,0,0,1
269,1,58.0,0,1,153.4625,1,0,0,0,1
270,1,35.0,0,0,135.6333,1,0,0,0,1
271,1,29.69911764705882,0,0,31.0,0,1,0,0,1
272,3,25.0,0,0,0.0,0,1,0,0,1
273,2,41.0,0,1,19.5,1,0,0,0,1
274,1,37.0,0,1,29.7,0,1,1,0,0
275,3,29.69911764705882,0,0,7.75,1,0,0,1,0
276,1,63.0,1,0,77.9583,1,0,0,0,1
277,3,45.0,0,0,7.75,1,0,0,0,1
278,2,29.69911764705882,0,0,0.0,0,1,0,0,1
279,3,7.0,4,1,29.125,0,1,0,1,0
280,3,35.0,1,1,20.25,1,0,0,0,1
281,3,65.0,0,0,7.75,0,1,0,1,0
282,3,28.0,0,0,7.8542,0,1,0,0,1
283,3,16.0,0,0,9.5,0,1,0,0,1
284,3,19.0,0,0,8.05,0,1,0,0,1
285,1,29.69911764705882,0,0,26.0,0,1,0,0,1
286,3,33.0,0,0,8.6625,0,1,1,0,0
287,3,30.0,0,0,9.5,0,1,0,0,1
288,3,22.0,0,0,7.8958,0,1,0,0,1
289,2,42.0,0,0,13.0,0,1,0,0,1
290,3,22.0,0,0,7.75,1,0,0,1,0
291,1,26.0,0,0,78.85,1,0,0,0,1
292,1,19.0,1,0,91.0792,1,0,1,0,0
293,2,36.0,0,0,12.875,0,1,1,0,0
294,3,24.0,0,0,8.85,1,0,0,0,1
295,3,24.0,0,0,7.8958,0,1,0,0,1
296,1,29.69911764705882,0,0,27.7208,0,1,1,0,0
297,3,23.5,0,0,7.2292,0,1,1,0,0
298,1,2.0,1,2,151.55,1,0,0,0,1
299,1,29.69911764705882,0,0,30.5,0,1,0,0,1
300,1,50.0,0,1,247.5208,1,0,1,0,0
301,3,29.69911764705882,0,0,7.75,1,0,0,1,0
302,3,29.69911764705882,2,0,23.25,0,1,0,1,0
303,3,19.0,0,0,0.0,0,1,0,0,1
304,2,29.69911764705882,0,0,12.35,1,0,0,1,0
305,3,29.69911764705882,0,0,8.05,0,1,0,0,1
306,1,0.92,1,2,151.55,0,1,0,0,1
307,1,29.69911764705882,0,0,110.8833,1,0,1,0,0
308,1,17.0,1,0,108.9,1,0,1,0,0
309,2,30.0,1,0,24.0,0,1,1,0,0
310,1,30.0,0,0,56.9292,1,0,1,0,0
311,1,24.0,0,0,83.1583,1,0,1,0,0
312,1,18.0,2,2,262.375,1,0,1,0,0
313,2,26.0,1,1,26.0,1,0,0,0,1
314,3,28.0,0,0,7.8958,0,1,0,0,1
315,2,43.0,1,1,26.25,0,1,0,0,1
316,3,26.0,0,0,7.8542,1,0,0,0,1
317,2,24.0,1,0,26.0,1,0,0,0,1
318,2,54.0,0,0,14.0,0,1,0,0,1
319,1,31.0,0,2,164.8667,1,0,0,0,1
320,1,40.0,1,1,134.5,1,0,1,0,0
321,3,22.0,0,0,7.25,0,1,0,0,1
322,3,27.0,0,0,7.8958,0,1,0,0,1
323,2,30.0,0,0,12.35,1,0,0,1,0
324,2,22.0,1,1,29.0,1,0,0,0,1
325,3,29.69911764705882,8,2,69.55,0,1,0,0,1
326,1,36.0,0,0,135.6333,1,0,1,0,0
327,3,61.0,0,0,6.2375,0,1,0,0,1
328,2,36.0,0,0,13.0,1,0,0,0,1
329,3,31.0,1,1,20.525,1,0,0,0,1
330,1,16.0,0,1,57.9792,1,0,1,0,0
331,3,29.69911764705882,2,0,23.25,1,0,0,1,0
332,1,45.5,0,0,28.5,0,1,0,0,1
333,1,38.0,0,1,153.4625,0,1,0,0,1
334,3,16.0,2,0,18.0,0,1,0,0,1
335,1,29.69911764705882,1,0,133.65,1,0,0,0,1
336,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
337,1,29.0,1,0,66.6,0,1,0,0,1
338,1,41.0,0,0,134.5,1,0,1,0,0
339,3,45.0,0,0,8.05,0,1,0,0,1
340,1,45.0,0,0,35.5,0,1,0,0,1
341,2,2.0,1,1,26.0,0,1,0,0,1
342,1,24.0,3,2,263.0,1,0,0,0,1
343,2,28.0,0,0,13.0,0,1,0,0,1
344,2,25.0,0,0,13.0,0,1,0,0,1
345,2,36.0,0,0,13.0,0,1,0,0,1
346,2,24.0,0,0,13.0,1,0,0,0,1
347,2,40.0,0,0,13.0,1,0,0,0,1
348,3,29.69911764705882,1,0,16.1,1,0,0,0,1
349,3,3.0,1,1,15.9,0,1,0,0,1
350,3,42.0,0,0,8.6625,0,1,0,0,1
351,3,23.0,0,0,9.225,0,1,0,0,1
352,1,29.69911764705882,0,0,35.0,0,1,0,0,1
353,3,15.0,1,1,7.2292,0,1,1,0,0
354,3,25.0,1,0,17.8,0,1,0,0,1
355,3,29.69911764705882,0,0,7.225,0,1,1,0,0
356,3,28.0,0,0,9.5,0,1,0,0,1
357,1,22.0,0,1,55.0,1,0,0,0,1
358,2,38.0,0,0,13.0,1,0,0,0,1
359,3,29.69911764705882,0,0,7.8792,1,0,0,1,0
360,3,29.69911764705882,0,0,7.8792,1,0,0,1,0
361,3,40.0,1,4,27.9,0,1,0,0,1
362,2,29.0,1,0,27.7208,0,1,1,0,0
363,3,45.0,0,1,14.4542,1,0,1,0,0
364,3,35.0,0,0,7.05,0,1,0,0,1
365,3,29.69911764705882,1,0,15.5,0,1,0,1,0
366,3,30.0,0,0,7.25,0,1,0,0,1
367,1,60.0,1,0,75.25,1,0,1,0,0
368,3,29.69911764705882,0,0,7.2292,1,0,1,0,0
369,3,29.69911764705882,0,0,7.75,1,0,0,1,0
370,1,24.0,0,0,69.3,1,0,1,0,0
371,1,25.0,1,0,55.4417,0,1,1,0,0
372,3,18.0,1,0,6.4958,0,1,0,0,1
373,3,19.0,0,0,8.05,0,1,0,0,1
374,1,22.0,0,0,135.6333,0,1,1,0,0
375,3,3.0,3,1,21.075,1,0,0,0,1
376,1,29.69911764705882,1,0,82.1708,1,0,1,0,0
377,3,22.0,0,0,7.25,1,0,0,0,1
378,1,27.0,0,2,211.5,0,1,1,0,0
379,3,20.0,0,0,4.0125,0,1,1,0,0
380,3,19.0,0,0,7.775,0,1,0,0,1
381,1,42.0,0,0,227.525,1,0,1,0,0
382,3,1.0,0,2,15.7417,1,0,1,0,0
383,3,32.0,0,0,7.925,0,1,0,0,1
384,1,35.0,1,0,52.0,1,0,0,0,1
385,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
386,2,18.0,0,0,73.5,0,1,0,0,1
387,3,1.0,5,2,46.9,0,1,0,0,1
388,2,36.0,0,0,13.0,1,0,0,0,1
389,3,29.69911764705882,0,0,7.7292,0,1,0,1,0
390,2,17.0,0,0,12.0,1,0,1,0,0
391,1,36.0,1,2,120.0,0,1,0,0,1
392,3,21.0,0,0,7.7958,0,1,0,0,1
393,3,28.0,2,0,7.925,0,1,0,0,1
394,1,23.0,1,0,113.275,1,0,1,0,0
395,3,24.0,0,2,16.7,1,0,0,0,1
396,3,22.0,0,0,7.7958,0,1,0,0,1
397,3,31.0,0,0,7.8542,1,0,0,0,1
398,2,46.0,0,0,26.0,0,1,0,0,1
399,2,23.0,0,0,10.5,0,1,0,0,1
400,2,28.0,0,0,12.65,1,0,0,0,1
401,3,39.0,0,0,7.925,0,1,0,0,1
402,3,26.0,0,0,8.05,0,1,0,0,1
403,3,21.0,1,0,9.825,1,0,0,0,1
404,3,28.0,1,0,15.85,0,1,0,0,1
405,3,20.0,0,0,8.6625,1,0,0,0,1
406,2,34.0,1,0,21.0,0,1,0,0,1
407,3,51.0,0,0,7.75,0,1,0,0,1
408,2,3.0,1,1,18.75,0,1,0,0,1
409,3,21.0,0,0,7.775,0,1,0,0,1
410,3,29.69911764705882,3,1,25.4667,1,0,0,0,1
411,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
412,3,29.69911764705882,0,0,6.8583,0,1,0,1,0
413,1,33.0,1,0,90.0,1,0,0,1,0
414,2,29.69911764705882,0,0,0.0,0,1,0,0,1
415,3,44.0,0,0,7.925,0,1,0,0,1
416,3,29.69911764705882,0,0,8.05,1,0,0,0,1
417,2,34.0,1,1,32.5,1,0,0,0,1
418,2,18.0,0,2,13.0,1,0,0,0,1
419,2,30.0,0,0,13.0,0,1,0,0,1
420,3,10.0,0,2,24.15,1,0,0,0,1
421,3,29.69911764705882,0,0,7.8958,0,1,1,0,0
422,3,21.0,0,0,7.7333,0,1,0,1,0
423,3,29.0,0,0,7.875,0,1,0,0,1
424,3,28.0,1,1,14.4,1,0,0,0,1
425,3,18.0,1,1,20.2125,0,1,0,0,1
426,3,29.69911764705882,0,0,7.25,0,1,0,0,1
427,2,28.0,1,0,26.0,1,0,0,0,1
428,2,19.0,0,0,26.0,1,0,0,0,1
429,3,29.69911764705882,0,0,7.75,0,1,0,1,0
430,3,32.0,0,0,8.05,0,1,0,0,1
431,1,28.0,0,0,26.55,0,1,0,0,1
432,3,29.69911764705882,1,0,16.1,1,0,0,0,1
433,2,42.0,1,0,26.0,1,0,0,0,1
434,3,17.0,0,0,7.125,0,1,0,0,1
435,1,50.0,1,0,55.9,0,1,0,0,1
436,1,14.0,1,2,120.0,1,0,0,0,1
437,3,21.0,2,2,34.375,1,0,0,0,1
438,2,24.0,2,3,18.75,1,0,0,0,1
439,1,64.0,1,4,263.0,0,1,0,0,1
440,2,31.0,0,0,10.5,0,1,0,0,1
441,2,45.0,1,1,26.25,1,0,0,0,1
442,3,20.0,0,0,9.5,0,1,0,0,1
443,3,25.0,1,0,7.775,0,1,0,0,1
444,2,28.0,0,0,13.0,1,0,0,0,1
445,3,29.69911764705882,0,0,8.1125,0,1,0,0,1
446,1,4.0,0,2,81.8583,0,1,0,0,1
447,2,13.0,0,1,19.5,1,0,0,0,1
448,1,34.0,0,0,26.55,0,1,0,0,1
449,3,5.0,2,1,19.2583,1,0,1,0,0
450,1,52.0,0,0,30.5,0,1,0,0,1
451,2,36.0,1,2,27.75,0,1,0,0,1
452,3,29.69911764705882,1,0,19.9667,0,1,0,0,1
453,1,30.0,0,0,27.75,0,1,1,0,0
454,1,49.0,1,0,89.1042,0,1,1,0,0
455,3,29.69911764705882,0,0,8.05,0,1,0,0,1
456,3,29.0,0,0,7.8958,0,1,1,0,0
457,1,65.0,0,0,26.55,0,1,0,0,1
458,1,29.69911764705882,1,0,51.8625,1,0,0,0,1
459,2,50.0,0,0,10.5,1,0,0,0,1
460,3,29.69911764705882,0,0,7.75,0,1,0,1,0
461,1,48.0,0,0,26.55,0,1,0,0,1
462,3,34.0,0,0,8.05,0,1,0,0,1
463,1,47.0,0,0,38.5,0,1,0,0,1
464,2,48.0,0,0,13.0,0,1,0,0,1
465,3,29.69911764705882,0,0,8.05,0,1,0,0,1
466,3,38.0,0,0,7.05,0,1,0,0,1
467,2,29.69911764705882,0,0,0.0,0,1,0,0,1
468,1,56.0,0,0,26.55,0,1,0,0,1
469,3,29.69911764705882,0,0,7.725,0,1,0,1,0
470,3,0.75,2,1,19.2583,1,0,1,0,0
471,3,29.69911764705882,0,0,7.25,0,1,0,0,1
472,3,38.0,0,0,8.6625,0,1,0,0,1
473,2,33.0,1,2,27.75,1,0,0,0,1
474,2,23.0,0,0,13.7917,1,0,1,0,0
475,3,22.0,0,0,9.8375,1,0,0,0,1
476,1,29.69911764705882,0,0,52.0,0,1,0,0,1
477,2,34.0,1,0,21.0,0,1,0,0,1
478,3,29.0,1,0,7.0458,0,1,0,0,1
479,3,22.0,0,0,7.5208,0,1,0,0,1
480,3,2.0,0,1,12.2875,1,0,0,0,1
481,3,9.0,5,2,46.9,0,1,0,0,1
482,2,29.69911764705882,0,0,0.0,0,1,0,0,1
483,3,50.0,0,0,8.05,0,1,0,0,1
484,3,63.0,0,0,9.5875,1,0,0,0,1
485,1,25.0,1,0,91.0792,0,1,1,0,0
486,3,29.69911764705882,3,1,25.4667,1,0,0,0,1
487,1,35.0,1,0,90.0,1,0,0,0,1
488,1,58.0,0,0,29.7,0,1,1,0,0
489,3,30.0,0,0,8.05,0,1,0,0,1
490,3,9.0,1,1,15.9,0,1,0,0,1
491,3,29.69911764705882,1,0,19.9667,0,1,0,0,1
492,3,21.0,0,0,7.25,0,1,0,0,1
493,1,55.0,0,0,30.5,0,1,0,0,1
494,1,71.0,0,0,49.5042,0,1,1,0,0
495,3,21.0,0,0,8.05,0,1,0,0,1
496,3,29.69911764705882,0,0,14.4583,0,1,1,0,0
497,1,54.0,1,0,78.2667,1,0,1,0,0
498,3,29.69911764705882,0,0,15.1,0,1,0,0,1
499,1,25.0,1,2,151.55,1,0,0,0,1
500,3,24.0,0,0,7.7958,0,1,0,0,1
501,3,17.0,0,0,8.6625,0,1,0,0,1
502,3,21.0,0,0,7.75,1,0,0,1,0
503,3,29.69911764705882,0,0,7.6292,1,0,0,1,0
504,3,37.0,0,0,9.5875,1,0,0,0,1
505,1,16.0,0,0,86.5,1,0,0,0,1
506,1,18.0,1,0,108.9,0,1,1,0,0
507,2,33.0,0,2,26.0,1,0,0,0,1
508,1,29.69911764705882,0,0,26.55,0,1,0,0,1
509,3,28.0,0,0,22.525,0,1,0,0,1
510,3,26.0,0,0,56.4958,0,1,0,0,1
511,3,29.0,0,0,7.75,0,1,0,1,0
